date,home_team,away_team,home_score,away_score,tournament,neutral
1990-06-09,Italy,Austria,1,0,FIFA World Cup,FALSE
1990-06-09,United States,Czechoslovakia,1,5,FIFA World Cup,TRUE
1990-06-09,Argentina,Cameroon,0,1,FIFA World Cup,TRUE
1990-06-09,Soviet Union,Romania,0,2,FIFA World Cup,TRUE
1990-06-09,Brazil,Sweden,2,1,FIFA World Cup,TRUE
1990-06-09,Costa Rica,Scotland,1,0,FIFA World Cup,TRUE
1990-06-09,Germany,Yugoslavia,4,1,FIFA World Cup,TRUE
1990-06-09,United Arab Emirates,Colombia,0,2,FIFA World Cup,TRUE
1990-06-09,Belgium,South Korea,2,0,FIFA World Cup,TRUE
1990-06-09,Uruguay,Spain,0,0,FIFA World Cup,TRUE
1990-06-09,England,Ireland,1,1,FIFA World Cup,TRUE
1990-06-09,Netherlands,Egypt,1,1,FIFA World Cup,TRUE
1990-06-14,Italy,United States,1,0,FIFA World Cup,FALSE
1990-06-14,Austria,Czechoslovakia,0,1,FIFA World Cup,TRUE
1990-06-14,Argentina,Soviet Union,2,0,FIFA World Cup,TRUE
1990-06-14,Cameroon,Romania,2,1,FIFA World Cup,TRUE
1990-06-14,Brazil,Costa Rica,1,0,FIFA World Cup,TRUE
1990-06-14,Scotland,Sweden,2,1,FIFA World Cup,TRUE
1990-06-14,Germany,United Arab Emirates,5,1,FIFA World Cup,TRUE
1990-06-14,Yugoslavia,Colombia,1,0,FIFA World Cup,TRUE
1990-06-14,Belgium,Uruguay,3,1,FIFA World Cup,TRUE
1990-06-14,South Korea,Spain,1,3,FIFA World Cup,TRUE
1990-06-14,England,Netherlands,0,0,FIFA World Cup,TRUE
1990-06-14,Ireland,Egypt,0,0,FIFA World Cup,TRUE
1990-06-19,Italy,Czechoslovakia,2,0,FIFA World Cup,FALSE
1990-06-19,Austria,United States,2,1,FIFA World Cup,TRUE
1990-06-19,Argentina,Romania,1,1,FIFA World Cup,TRUE
1990-06-19,Soviet Union,Cameroon,4,0,FIFA World Cup,TRUE
1990-06-19,Brazil,Scotland,1,0,FIFA World Cup,TRUE
1990-06-19,Sweden,Costa Rica,1,2,FIFA World Cup,TRUE
1990-06-19,Germany,Colombia,1,1,FIFA World Cup,TRUE
1990-06-19,Yugoslavia,United Arab Emirates,4,1,FIFA World Cup,TRUE
1990-06-19,Belgium,Spain,1,2,FIFA World Cup,TRUE
1990-06-19,South Korea,Uruguay,0,1,FIFA World Cup,TRUE
1990-06-19,England,Egypt,1,0,FIFA World Cup,TRUE
1990-06-19,Ireland,Netherlands,1,1,FIFA World Cup,TRUE
1990-06-24,Cameroon,Colombia,2,1,FIFA World Cup,TRUE
1990-06-24,Czechoslovakia,Costa Rica,4,1,FIFA World Cup,TRUE
1990-06-24,Argentina,Brazil,1,0,FIFA World Cup,TRUE
1990-06-24,Germany,Netherlands,2,1,FIFA World Cup,TRUE
1990-06-25,Ireland,Romania,0,0,FIFA World Cup,TRUE
1990-06-25,Italy,Uruguay,2,0,FIFA World Cup,FALSE
1990-06-25,Yugoslavia,Spain,2,1,FIFA World Cup,TRUE
1990-06-26,England,Belgium,1,0,FIFA World Cup,TRUE
1990-06-30,Argentina,Yugoslavia,0,0,FIFA World Cup,TRUE
1990-06-30,Italy,Ireland,1,0,FIFA World Cup,FALSE
1990-07-01,Germany,Czechoslovakia,1,0,FIFA World Cup,TRUE
1990-07-01,England,Cameroon,3,2,FIFA World Cup,TRUE
1990-07-03,Italy,Argentina,1,1,FIFA World Cup,FALSE
1990-07-04,Germany,England,1,1,FIFA World Cup,TRUE
1990-07-07,Italy,England,2,1,FIFA World Cup,FALSE
1990-07-08,Germany,Argentina,1,0,FIFA World Cup,TRUE
1994-06-18,United States,Switzerland,1,1,FIFA World Cup,FALSE
1994-06-18,Colombia,Romania,1,3,FIFA World Cup,TRUE
1994-06-18,Brazil,Russia,2,0,FIFA World Cup,TRUE
1994-06-18,Cameroon,Sweden,2,2,FIFA World Cup,TRUE
1994-06-18,Germany,Bolivia,1,0,FIFA World Cup,TRUE
1994-06-18,Spain,South Korea,2,2,FIFA World Cup,TRUE
1994-06-18,Argentina,Greece,4,0,FIFA World Cup,TRUE
1994-06-18,Nigeria,Bulgaria,3,0,FIFA World Cup,TRUE
1994-06-18,Italy,Ireland,0,1,FIFA World Cup,TRUE
1994-06-18,Norway,Mexico,1,0,FIFA World Cup,TRUE
1994-06-18,Belgium,Morocco,1,0,FIFA World Cup,TRUE
1994-06-18,Netherlands,Saudi Arabia,2,1,FIFA World Cup,TRUE
1994-06-23,United States,Colombia,2,1,FIFA World Cup,FALSE
1994-06-23,Switzerland,Romania,4,1,FIFA World Cup,TRUE
1994-06-23,Brazil,Cameroon,3,0,FIFA World Cup,TRUE
1994-06-23,Sweden,Russia,3,1,FIFA World Cup,TRUE
1994-06-23,Germany,Spain,1,1,FIFA World Cup,TRUE
1994-06-23,Bolivia,South Korea,0,0,FIFA World Cup,TRUE
1994-06-23,Argentina,Nigeria,2,1,FIFA World Cup,TRUE
1994-06-23,Bulgaria,Greece,4,0,FIFA World Cup,TRUE
1994-06-23,Italy,Norway,1,0,FIFA World Cup,TRUE
1994-06-23,Mexico,Ireland,2,1,FIFA World Cup,TRUE
1994-06-23,Belgium,Netherlands,1,0,FIFA World Cup,TRUE
1994-06-23,Saudi Arabia,Morocco,2,1,FIFA World Cup,TRUE
1994-06-28,United States,Romania,0,1,FIFA World Cup,FALSE
1994-06-28,Switzerland,Colombia,0,2,FIFA World Cup,TRUE
1994-06-28,Brazil,Sweden,1,1,FIFA World Cup,TRUE
1994-06-28,Russia,Cameroon,6,1,FIFA World Cup,TRUE
1994-06-28,Germany,South Korea,3,2,FIFA World Cup,TRUE
1994-06-28,Bolivia,Spain,1,3,FIFA World Cup,TRUE
1994-06-28,Argentina,Bulgaria,0,2,FIFA World Cup,TRUE
1994-06-28,Greece,Nigeria,0,2,FIFA World Cup,TRUE
1994-06-28,Italy,Mexico,1,1,FIFA World Cup,TRUE
1994-06-28,Ireland,Norway,0,0,FIFA World Cup,TRUE
1994-06-28,Belgium,Saudi Arabia,0,1,FIFA World Cup,TRUE
1994-06-28,Morocco,Netherlands,1,2,FIFA World Cup,TRUE
1994-07-03,Germany,Belgium,3,2,FIFA World Cup,TRUE
1994-07-03,Spain,Switzerland,3,0,FIFA World Cup,TRUE
1994-07-03,Sweden,Saudi Arabia,3,1,FIFA World Cup,TRUE
1994-07-03,Romania,Argentina,3,2,FIFA World Cup,TRUE
1994-07-04,Netherlands,Ireland,2,0,FIFA World Cup,TRUE
1994-07-04,United States,Brazil,0,1,FIFA World Cup,FALSE
1994-07-05,Italy,Nigeria,2,1,FIFA World Cup,TRUE
1994-07-05,Bulgaria,Mexico,1,1,FIFA World Cup,TRUE
1994-07-09,Italy,Spain,2,1,FIFA World Cup,TRUE
1994-07-09,Brazil,Netherlands,3,2,FIFA World Cup,TRUE
1994-07-10,Bulgaria,Germany,2,1,FIFA World Cup,TRUE
1994-07-10,Romania,Sweden,2,2,FIFA World Cup,TRUE
1994-07-13,Italy,Bulgaria,2,1,FIFA World Cup,TRUE
1994-07-13,Brazil,Sweden,1,0,FIFA World Cup,TRUE
1994-07-16,Sweden,Bulgaria,4,0,FIFA World Cup,TRUE
1994-07-17,Brazil,Italy,0,0,FIFA World Cup,TRUE
1998-06-11,Brazil,Scotland,2,1,FIFA World Cup,TRUE
1998-06-11,Morocco,Norway,2,2,FIFA World Cup,TRUE
1998-06-11,Italy,Chile,2,2,FIFA World Cup,TRUE
1998-06-11,Cameroon,Austria,1,1,FIFA World Cup,TRUE
1998-06-11,Saudi Arabia,Denmark,0,1,FIFA World Cup,TRUE
1998-06-11,France,South Africa,3,0,FIFA World Cup,FALSE
1998-06-11,Paraguay,Bulgaria,0,0,FIFA World Cup,TRUE
1998-06-11,Spain,Nigeria,2,3,FIFA World Cup,TRUE
1998-06-11,South Korea,Mexico,1,3,FIFA World Cup,TRUE
1998-06-11,Netherlands,Belgium,0,0,FIFA World Cup,TRUE
1998-06-11,Yugoslavia,Iran,1,0,FIFA World Cup,TRUE
1998-06-11,Germany,United States,2,0,FIFA World Cup,TRUE
1998-06-11,England,Tunisia,2,0,FIFA World Cup,TRUE
1998-06-11,Romania,Colombia,1,0,FIFA World Cup,TRUE
1998-06-11,Argentina,Japan,1,0,FIFA World Cup,TRUE
1998-06-11,Jamaica,Croatia,1,3,FIFA World Cup,TRUE
1998-06-17,Scotland,Norway,1,1,FIFA World Cup,TRUE
1998-06-17,Brazil,Morocco,3,0,FIFA World Cup,TRUE
1998-06-17,Chile,Austria,1,1,FIFA World Cup,TRUE
1998-06-17,Italy,Cameroon,3,0,FIFA World Cup,TRUE
1998-06-17,France,Saudi Arabia,4,0,FIFA World Cup,FALSE
1998-06-17,South Africa,Denmark,1,1,FIFA World Cup,TRUE
